SampleID,Instrument.File.Name,RunDate_YYMMDD,Batch,RunOrder,Specimen.type,Column,Polarity,Instrument,Method,Operator
nist_01,DW_140904_001,140904,1,1,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
nist_03,DW_140904_003,140904,1,3,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
nist_05,DW_140904_005,140904,1,5,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
q1_01,DW_140904_007,140904,1,7,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
q1_03,DW_140904_009,140904,1,9,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
q1_05,DW_140904_011,140904,1,11,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0059_01,DW_140904_013,140904,1,13,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0059_03,DW_140904_015,140904,1,15,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0059_05,DW_140904_017,140904,1,17,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0056_01,DW_140904_019,140904,1,19,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0056_03,DW_140904_021,140904,1,21,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0056_05,DW_140904_023,140904,1,23,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0084_01,DW_140904_025,140904,1,25,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0084_03,DW_140904_027,140904,1,27,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0084_05,DW_140904_029,140904,1,29,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0066_01,DW_140904_031,140904,1,31,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0066_03,DW_140904_033,140904,1,33,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0066_05,DW_140904_035,140904,1,35,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0085_01,DW_140904_037,140904,1,37,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0085_03,DW_140904_039,140904,1,39,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0085_05,DW_140904_041,140904,1,41,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0067_01,DW_140904_043,140904,1,43,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0067_03,DW_140904_045,140904,1,45,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0067_05,DW_140904_047,140904,1,47,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0057_01,DW_140904_049,140904,1,49,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0057_03,DW_140904_051,140904,1,51,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0057_05,DW_140904_053,140904,1,53,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0061_01,DW_140904_055,140904,1,55,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0061_03,DW_140904_057,140904,1,57,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0061_05,DW_140904_059,140904,1,59,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0079_01,DW_140904_061,140904,1,61,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0079_03,DW_140904_063,140904,1,63,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0079_05,DW_140904_065,140904,1,65,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0065_01,DW_140904_067,140904,1,67,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0065_03,DW_140904_069,140904,1,69,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0065_05,DW_140904_071,140904,1,71,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0077_01,DW_140904_073,140904,1,73,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0077_03,DW_140904_075,140904,1,75,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0077_05,DW_140904_077,140904,1,77,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0073_01,DW_140904_079,140904,1,79,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0073_03,DW_140904_081,140904,1,81,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0073_05,DW_140904_083,140904,1,83,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0083_01,DW_140904_085,140904,1,85,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0083_03,DW_140904_087,140904,1,87,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0083_05,DW_140904_089,140904,1,89,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0052_01,DW_140904_091,140904,1,91,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0052_03,DW_140904_093,140904,1,93,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0052_05,DW_140904_095,140904,1,95,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0055_01,DW_140904_097,140904,1,97,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0055_03,DW_140904_099,140904,1,99,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0055_05,DW_140904_101,140904,1,101,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0071_001,DW_140904_103,140904,1,103,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0071_03,DW_140904_105,140904,1,105,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0071_05,DW_140904_107,140904,1,107,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0060_01,DW_140904_109,140904,1,109,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0060_03,DW_140904_111,140904,1,111,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0060_05,DW_140904_113,140904,1,113,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0063_01,DW_140904_115,140904,1,115,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0063_03,DW_140904_117,140904,1,117,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0063_05,DW_140904_119,140904,1,119,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0080_01,DW_140904_121,140904,1,121,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0080_03,DW_140904_123,140904,1,123,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0080_05,DW_140904_125,140904,1,125,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0054_01,DW_140904_127,140904,1,127,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0054_03,DW_140904_129,140904,1,129,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0054_05,DW_140904_131,140904,1,131,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0076_01,DW_140904_133,140904,1,133,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0076_03,DW_140904_135,140904,1,135,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0076_05,DW_140904_137,140904,1,137,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0053_01,DW_140904_139,140904,1,139,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0053_03,DW_140904_141,140904,1,141,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0053_05,DW_140904_143,140904,1,143,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0068_01,DW_140904_145,140904,1,145,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0068_03,DW_140904_147,140904,1,147,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0068_05,DW_140904_149,140904,1,149,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0058_01,DW_140904_151,140904,1,151,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0058_03,DW_140904_153,140904,1,153,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0058_05,DW_140904_155,140904,1,155,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0064_01,DW_140904_157,140904,1,157,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0064_03,DW_140904_159,140904,1,159,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0064_05,DW_140904_161,140904,1,161,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0081_01,DW_140904_163,140904,1,163,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0081_03,DW_140904_165,140904,1,165,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0081_05,DW_140904_167,140904,1,167,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0074_01,DW_140904_169,140904,1,169,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0074_03,DW_140904_171,140904,1,171,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0074_05,DW_140904_173,140904,1,173,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0086_01,DW_140904_175,140904,1,175,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0086_03,DW_140904_177,140904,1,177,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0086_05,DW_140904_179,140904,1,179,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0075_01,DW_140904_181,140904,1,181,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0075_03,DW_140904_183,140904,1,183,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0075_05,DW_140904_185,140904,1,185,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0072_01,DW_140904_187,140904,1,187,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0072_03,DW_140904_189,140904,1,189,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0072_05,DW_140904_191,140904,1,191,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0082_01,DW_140904_193,140904,1,193,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0082_03,DW_140904_195,140904,1,195,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0082_05,DW_140904_197,140904,1,197,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0069_01,DW_140904_199,140904,1,199,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0069_03,DW_140904_201,140904,1,201,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0069_05,DW_140904_203,140904,1,203,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0062_01,DW_140904_205,140904,1,205,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0062_03,DW_140904_207,140904,1,207,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0062_05,DW_140904_209,140904,1,209,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0070_01,DW_140904_211,140904,1,211,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0070_03,DW_140904_213,140904,1,213,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
CR0070_05,DW_140904_215,140904,1,215,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
q1b_01,DW_140904_217,140904,1,217,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
q1b_03,DW_140904_219,140904,1,219,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
q1b_05,DW_140904_221,140904,1,221,Plasma,c18,pos,Qexactive,C:\Xcalibur\methods\pos_C18_08042014-DW,DW
